Name,Country,City,Address,Rating,Reviews,Site,Link
Basic-Fit Madrid Goya,Spain,Madrid,"Calle de Goya, 43",3.9,524,https://www.google.com/aclk?sa=l&ai=DChcSEwi-1rn4qMn9AhXG5lEKHS5qBPIYABAAGgJ3cw&sig=AOD64_337rlweTLdMslv-MMnalElxlzFtw&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Madrid+Goya/data=!4m7!3m6!1s0xd4228bcdf72aa1d:0x5904bf5df6adaa79!8m2!3d40.4253895!4d-3.6829652!16s%2Fg%2F11b75ktn4h!19sChIJHapy37woQg0Reaqt9l2_BFk?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Madrid,"C. de Atocha, 24",3.5,1000,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-calle-atocha-10de0995d7994dcc871a043efadec876.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd4228800e2c5383:0x483346b29bd9dd6c!8m2!3d40.413691!4d-3.7024168!16s%2Fg%2F1pyqn8pv4!19sChIJg1MsDoAoQg0RbN3Zm7JGM0g?authuser=0&hl=en&rclk=1
Basic-Fit Madrid Núñez de Balboa,Spain,Madrid,"Calle de Núñez de Balboa, 115",4.0,600,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-nunez-de-balboa-1b5f4ab5fa354c1d91c975d6922f4be3.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Madrid+N%C3%BA%C3%B1ez+de+Balboa/data=!4m7!3m6!1s0xd4228c1d2a8e6cf:0xae80bf78e40ed74c!8m2!3d40.4365764!4d-3.6820833!16s%2Fg%2F11cjhz53fg!19sChIJz-ao0sEoQg0RTNcO5Hi_gK4?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Madrid,"C. de la Montera, 41",3.6,535,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-montera-a195ce0d34a1412780bdc7e02604f83b.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd422887428a4f25:0x378d40b358bad22e!8m2!3d40.4192559!4d-3.7022337!16s%2Fg%2F11c2rczwtn!19sChIJJU-KQocoQg0RLtK6WLNAjTc?authuser=0&hl=en&rclk=1
Basic-Fit Madrid Sor Ángela de la Cruz,Spain,Madrid,"C. de Sor Ángela de la Cruz, 24",3.4,773,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-sor-angela-de-la-cruz-174f3201a7814c9fa35a113473b17d67.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Madrid+Sor+%C3%81ngela+de+la+Cruz/data=!4m7!3m6!1s0xd42290460d4d665:0x6fb9f766c265928a!8m2!3d40.4600949!4d-3.6955946!16s%2Fg%2F11b6bc9jlr!19sChIJZdbUYAQpQg0RipJlwmb3uW8?authuser=0&hl=en&rclk=1
Basic-Fit,Spain,Madrid,"Calle de Fuencarral, 126",3.6,871,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-calle-fuencarral-40f0c873cc16411fb5142ea3d9aa33a9.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit/data=!4m7!3m6!1s0xd4228602cb3f78b:0xef12a844aba9bfed!8m2!3d40.430457!4d-3.7027454!16s%2Fg%2F11bbrl4817!19sChIJi_ezLGAoQg0R7b-pq0SoEu8?authuser=0&hl=en&rclk=1
Basic-Fit Madrid Delicias,Spain,Madrid,"Paseo de las Delicias, 32",3.8,585,https://www.basic-fit.com/es-es/gimnasio/basic-fit-madrid-delicias-caf791673cf14a5a9ac664951bc5210a.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Madrid+Delicias/data=!4m7!3m6!1s0xd42262feb342577:0x611f8d7954d171ff!8m2!3d40.4043205!4d-3.6938099!16s%2Fg%2F11c48ddzj8!19sChIJdyU06y8mQg0R_3HRVHmNH2E?authuser=0&hl=en&rclk=1
Basic-Fit Barcelona Carrer de Sardenya,Spain,Barcelona,"C/ de Sardenya, 153",4.8,327,https://www.basic-fit.com/es-es/home,https://www.google.com/maps/place/Basic-Fit+Barcelona+Carrer+de+Sardenya/data=!4m7!3m6!1s0x12a4a3cf7521e67d:0xb25534bf91750862!8m2!3d41.3967444!4d2.181679!16s%2Fg%2F11s_zpfv1q!19sChIJfeYhdc-jpBIRYgh1kb80VbI?authuser=0&hl=en&rclk=1
Basic-Fit Valencia Joaquín Costa,Spain,Valencia,"Carrer de Joaquín Costa, 6",4.9,1135,https://www.google.com/aclk?sa=l&ai=DChcSEwibkMT8qMn9AhXejWgJHQKMDUYYABAAGgJ3Zg&sig=AOD64_32cysAZuSq6MUfk0bci3AGva7gDg&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Valencia+Joaqu%C3%ADn+Costa/data=!4m7!3m6!1s0xd60492d06bd4cdd:0xd1ea59a22b93ccef!8m2!3d39.4666884!4d-0.3677788!16s%2Fg%2F11hp1ftlg8!19sChIJ3Uy9Bi1JYA0R78yTK6JZ6tE?authuser=0&hl=en&rclk=1
Basic-Fit Valencia Mestre Rodrigo,Spain,Valencia,"Av. del Mestre Rodrigo, 32",4.8,861,https://www.basic-fit.com/es-es/gimnasio/basic-fit-valencia-mestre-rodrigo-d26b63df422441a48064a7e97fb30638.html,https://www.google.com/maps/place/Basic-Fit+Valencia+Mestre+Rodrigo/data=!4m7!3m6!1s0xd604ff29d422a1b:0x6f271553adffa940!8m2!3d39.4816276!4d-0.4001582!16s%2Fg%2F11hf7tfqb_!19sChIJGypCnfJPYA0RQKn_rVMVJ28?authuser=0&hl=en&rclk=1
Basic-Fit Valencia Pintor Maella,Spain,Valencia,"C/ del Pintor Maella, 4",4.8,871,https://www.basic-fit.com/es-es/gimnasio/basic-fit-valencia-pintor-maella-4fc9148a376c44bfaa573d5fad2d7c23.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Valencia+Pintor+Maella/data=!4m7!3m6!1s0xd60490a342736ef:0xdd79738b1fcc0e9!8m2!3d39.4634153!4d-0.3467636!16s%2Fg%2F11smf_9tc6!19sChIJ7zYnNApJYA0R6cD8sTiX1w0?authuser=0&hl=en&rclk=1
Basic-Fit Valencia Primer de maig,Spain,Valencia,"Av. del Primer de Maig, 20",4.8,253,http://www.basic-fit.com/es-es,https://www.google.com/maps/place/Basic-Fit+Valencia+Primer+de+maig/data=!4m7!3m6!1s0xd604f479bc59465:0x9987455922394004!8m2!3d39.4490602!4d-0.3877268!16s%2Fg%2F11tck6l6dj!19sChIJZZTFm0dPYA0RBEA5IllFh5k?authuser=0&hl=en&rclk=1
Basic-Fit La Petxina,Spain,Valencia,"Pg. de la Petxina, 46",4.8,416,https://www.basic-fit.com/es-es/gimnasio/basic-fit-valencia-passeig-de-la-petxina--cc65f126566e47c09c05e368c242fd34.html,https://www.google.com/maps/place/Basic-Fit+La+Petxina/data=!4m7!3m6!1s0xd604f440e598fc9:0xd61f3728a0209af1!8m2!3d39.4745778!4d-0.3965411!16s%2Fg%2F11s4dhfsry!19sChIJyY9ZDkRPYA0R8ZogoCg3H9Y?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Avenida Juan Pablo II,Spain,Seville,"Av. Juan Pablo II, 1",4.9,23,https://www.google.com/aclk?sa=l&ai=DChcSEwilpMP-qMn9AhVDsNUKHb6UD80YABAAGgJ3cw&sig=AOD64_0t3xc6GFV7ceRt8LETG4S74hXqbQ&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Sevilla+Avenida+Juan+Pablo+II/data=!4m7!3m6!1s0xd126d99a066ef37:0x6c40c2b6410517f4!8m2!3d37.3682765!4d-5.9998895!16s%2Fg%2F11sf775t9t!19sChIJN-9moJltEg0R9BcFQbbCQGw?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Luis Montoto,Spain,Seville,"C. Luis Montoto, 132",4.4,337,https://www.basic-fit.com/es-es/gimnasio/basic-fit-sevilla-luis-montoto-88280633f3834211a6fb584988ab9ef9.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+Luis+Montoto/data=!4m7!3m6!1s0xd126f99628e7e7b:0x84799af20d3a0be2!8m2!3d37.387259!4d-5.969991!16s%2Fg%2F11k_4y15fp!19sChIJe36OYplvEg0R4gs6DfKaeYQ?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Calle Tarifa,Spain,Seville,"C. Tarifa, 8",4.0,30,https://www.basic-fit.com/nl-es/sportschool/basic-fit-sevilla-calle-tarifa-939ae450c73d489384368728b66ab84d.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+Calle+Tarifa/data=!4m7!3m6!1s0xd126d6b8c01d9d9:0x108c084a623c7cf3!8m2!3d37.3932239!4d-5.9951929!16s%2Fg%2F11tmr9xfwl!19sChIJ2dkBjGttEg0R83w8YkoIjBA?authuser=0&hl=en&rclk=1
